Nome,Traduzione,Tipo di Proprietà,Sottotipo,Spiegazione
Polymer Matrix,Matrice polimerica,,,Il tipo di polimero base del composito
Filler,Riempitivo,,,Il tipo di materiale di riempimento usato nel composito
Filler Concentration (wt%),Concentrazione del riempitivo (peso %),,,Percentuale in peso del filler nel materiale
Fiber,Fibra,,,Tipo di fibra usata nel composito
Fiber Concentration (wt%),Concentrazione delle fibre (peso %),,,Percentuale in peso della fibra nel materiale
Matrix Density (g/cm³),Densità della matrice,Fisica,,Massa per unità di volume del polimero base
Filler Density (g/cm³),Densità del riempitivo,Fisica,,Massa per volume del materiale riempitivo
Fiber Density (g/cm³),Densità della fibra,Fisica,,Massa per volume del materiale fibroso
Impact Toughness (kJ/m²),Tenacità all’impatto,Meccanica,,Capacità del materiale di assorbire energia durante un impatto
Elastic Modulus (MPa),Modulo elastico,Meccanica,,Rigidità del materiale: resistenza alla deformazione elastica
Tensile Strength (MPa),Resistenza a trazione,Meccanica,,Sforzo massimo sopportabile in trazione prima della rottura
Flexural Strength (MPa),Resistenza a flessione,Meccanica,,Resistenza alla rottura sotto carico flessionale
Tensile Strain (%),Deformazione a trazione (%),Meccanica,,Allungamento percentuale del materiale sotto trazione
Thermal Conductivity (W/m·K),Conducibilità termica,Funzionale,Termica,Capacità di condurre calore.
Vicat Heat Resistance (°C),Resistenza termica Vicat,Funzionale,Termica,Temperatura alla quale il materiale inizia a deformarsi sotto carico
Initiation of Destruction Temp. (°C),Temperatura d’inizio distruzione,Funzionale,Termica,Temperatura alla quale comincia la decomposizione
EMI Shielding Effectiveness (dB),Efficienza schermatura EMI (dB),Funzionale,Elettrica,Capacità di bloccare interferenze elettromagnetiche
Filler Geometry,Geometria del riempitivo,,,"La forma fisica del filler (sferico, plates, ecc)"
Composite Density (g/cm³),Densità del composito,,Fisica,Densità del materiale composito completo
Filler Volume Fraction (%),Frazione volumica del riempitivo (%),Altro,,Percentuale in volume del filler
Elastic Modulus matrix (MPa),Modulo elastico della matrice,Meccanica,,Rigidità della matrice polimerica
Elastic Modulus filler (MPa),Modulo elastico del riempitivo,Meccanica,,Rigidità del materiale di riempimento
Fiber Volume Fraction (%),Frazione volumica delle fibre (%),,,Percentuale in volume della fibra nel composito
Friction Coefficient,Coefficiente di attrito,Meccanica,,Resistenza al movimento relativo tra superfici a contatto
Tensile Modulus (MPa),Modulo a trazione,Meccanica,,Rapporto sforzo/deformazione in trazione
Impact Strength (kJ/m²),Resistenza all’impatto,Meccanica,,Energia che il materiale può assorbire prima di fratturarsi
Fiber Geometry,Geometria della fibra,,,"La forma della fibra (continua, corta, ecc.)"
Offset Yield Stress (MPa),Tensione di snervamento (Offset),Meccanica,,Sforzo al quale il materiale inizia a deformarsi plasticamente
Fatigue Durability (cycles),Durabilità a fatica (cicli),Meccanica,,Numero di cicli di carico prima della rottura per fatica
Glass Transition Temperature (°C),Temperatura di transizione vetrosa,Funzionale,Termica,Temperatura in cui il materiale passa da rigido a gommoso
Linear Expansion Coefficient (1/°C),Coefficiente di espansione termica lineare,Funzionale,Termica,Tendenza ad espandersi con la temperatura
Oxygen Index (%),Indice di ossigeno,Funzionale,Comportamento al fuoco,Quantità minima di ossigeno necessaria per mantenere la combustione
Rockwell Hardness (M),Durezza Rockwell (scala M),Meccanica,,Resistenza alla penetrazione: misura della durezza superficiale
Mode II Interlaminar Fracture Toughness (kJ/m²),Tenacità a frattura interlaminare di modo II (kJ/m²),Meccanica,,Resistenza alla propagazione di una frattura tra strati sotto sollecitazione di taglio
Hardness (Shore D),Durezza (Shore D),Meccanica,,"Misura della durezza superficiale secondo la scala Shore D, usata per materiali rigidi"
Rebound Resilience (%),Resilienza al rimbalzo (%),Meccanica,,Capacità del materiale di riprendere la forma dopo un impatto (misura elastica)
Brittleness (10^10/%·Pa),Fragilità (10^10/%·Pa),Meccanica,,Indice della facilità con cui un materiale si rompe sotto stress
Melting Temperature (°C),Temperatura di fusione (°C),Funzionale,Termica,Temperatura alla quale il materiale passa da solido a liquido
Crystallization Temperature (°C),Temperatura di cristallizzazione (°C),Funzionale,Termica,Temperatura alla quale un polimero inizia a cristallizzare
Onset Crystallization Temperature (°C),Temperatura iniziale di cristallizzazione (°C),Funzionale,Termica,Punto iniziale della transizione amorfa → cristallina
Melting Enthalpy (J/g),Entalpia di fusione (J/g),Funzionale,Termica,Energia necessaria per fondere una certa massa del materiale
Crystallinity Degree (%),Grado di cristallinità (%),Funzionale,Strutturale,Percentuale di fase cristallina nel materiale
Storage Modulus E′ at 25°C (MPa),Modulo di immagazzinamento E′ a 25°C,Meccanica,Dinamica,Parte elastica della risposta viscoelastica a 25°C
Loss Modulus E″ at 25°C (MPa),Modulo di perdita E″ a 25°C,Meccanica,Dinamica,Parte viscosa della risposta viscoelastica a 25°C
tan δ at 25°C,tan δ a 25°C,Meccanica,Dinamica,Rapporto tra modulo di perdita e modulo di immagazzinamento (dissipazione)
Melt Flow Index (g/10 min),Indice di fluidità a caldo (g/10 min),Funzionale,Lavorabilità,Quantità di materiale fuso che fluisce in 10 minuti
Complex Viscosity (Trend),Viscosità complessa (andamento),Funzionale,Reologica,Comportamento della viscosità del materiale sotto sforzo oscillante
Porosity (%),Porosità (%),Funzionale,Strutturale,Percentuale di vuoti presenti all’interno del materiale
Adhesion Factor,Fattore di adesione,Funzionale,Interfaccia,Capacità del materiale di aderire ad altri materiali
